ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
4,VULT,2,PERFUMARIA,15/1/2019,7
4,VULT,2,PERFUMARIA,12/10/2019,2
3,QUEM DISSE BERENICE,5,HIDRATANTES,1/9/2019,3
3,QUEM DISSE BERENICE,3,MAQUIAGEM,29/7/2019,17
1,BOTICÁRIO,4,SOLAR,15/11/2019,19
2,EUDORA,1,CABELOS,8/3/2019,9
2,EUDORA,4,SOLAR,24/2/2019,6
3,QUEM DISSE BERENICE,1,CABELOS,27/9/2019,4
5,BELEZA NA WEB,3,MAQUIAGEM,26/1/2019,12
4,VULT,1,CABELOS,24/2/2019,9
3,QUEM DISSE BERENICE,2,PERFUMARIA,18/10/2019,7
3,QUEM DISSE BERENICE,4,SOLAR,3/6/2019,19
2,EUDORA,5,HIDRATANTES,3/6/2019,14
4,VULT,5,HIDRATANTES,8/10/2019,19
1,BOTICÁRIO,1,CABELOS,7/5/2019,12
2,EUDORA,4,SOLAR,29/10/2019,13
5,BELEZA NA WEB,5,HIDRATANTES,5/1/2019,6
2,EUDORA,5,HIDRATANTES,16/6/2019,18
2,EUDORA,3,MAQUIAGEM,22/4/2019,15
1,BOTICÁRIO,2,PERFUMARIA,7/7/2019,18
4,VULT,5,HIDRATANTES,30/7/2019,14
3,QUEM DISSE BERENICE,4,SOLAR,29/11/2019,9
3,QUEM DISSE BERENICE,2,PERFUMARIA,22/1/2019,14
3,QUEM DISSE BERENICE,2,PERFUMARIA,5/2/2019,19
1,BOTICÁRIO,5,HIDRATANTES,15/3/2019,13
5,BELEZA NA WEB,3,MAQUIAGEM,22/9/2019,6
4,VULT,1,CABELOS,26/9/2019,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,20/8/2019,4
1,BOTICÁRIO,1,CABELOS,5/3/2019,14
1,BOTICÁRIO,3,MAQUIAGEM,27/5/2019,11
3,QUEM DISSE BERENICE,3,MAQUIAGEM,5/3/2019,6
3,QUEM DISSE BERENICE,4,SOLAR,19/2/2019,2
1,BOTICÁRIO,4,SOLAR,19/1/2019,8
3,QUEM DISSE BERENICE,1,CABELOS,19/8/2019,11
4,VULT,2,PERFUMARIA,20/8/2019,9
4,VULT,4,SOLAR,6/3/2019,15
3,QUEM DISSE BERENICE,1,CABELOS,13/1/2019,17
5,BELEZA NA WEB,2,PERFUMARIA,17/5/2019,7
1,BOTICÁRIO,3,MAQUIAGEM,3/2/2019,14
2,EUDORA,4,SOLAR,24/4/2019,15
4,VULT,3,MAQUIAGEM,26/12/2019,20
1,BOTICÁRIO,5,HIDRATANTES,18/7/2019,14
2,EUDORA,4,SOLAR,3/3/2019,11
3,QUEM DISSE BERENICE,2,PERFUMARIA,29/12/2019,1
5,BELEZA NA WEB,3,MAQUIAGEM,31/7/2019,3
1,BOTICÁRIO,2,PERFUMARIA,1/6/2019,12
3,QUEM DISSE BERENICE,4,SOLAR,17/9/2019,11
2,EUDORA,5,HIDRATANTES,3/2/2019,2
4,VULT,5,HIDRATANTES,5/2/2019,8
3,QUEM DISSE BERENICE,4,SOLAR,8/1/2019,9
2,EUDORA,3,MAQUIAGEM,27/5/2019,7
2,EUDORA,2,PERFUMARIA,17/4/2019,3
4,VULT,2,PERFUMARIA,31/8/2019,13
1,BOTICÁRIO,3,MAQUIAGEM,2/11/2019,10
2,EUDORA,4,SOLAR,10/8/2019,20
5,BELEZA NA WEB,2,PERFUMARIA,2/5/2019,8
5,BELEZA NA WEB,5,HIDRATANTES,2/10/2019,15
2,EUDORA,5,HIDRATANTES,1/9/2019,7
1,BOTICÁRIO,4,SOLAR,9/1/2019,16
4,VULT,1,CABELOS,23/5/2019,11
5,BELEZA NA WEB,5,HIDRATANTES,25/1/2019,11
3,QUEM DISSE BERENICE,2,PERFUMARIA,16/10/2019,20
2,EUDORA,2,PERFUMARIA,8/11/2019,7
5,BELEZA NA WEB,4,SOLAR,3/8/2019,3
4,VULT,2,PERFUMARIA,14/10/2019,10
4,VULT,1,CABELOS,16/1/2019,20
1,BOTICÁRIO,2,PERFUMARIA,6/2/2019,20
4,VULT,2,PERFUMARIA,20/2/2019,15
2,EUDORA,1,CABELOS,23/11/2019,5
5,BELEZA NA WEB,2,PERFUMARIA,10/6/2019,1
4,VULT,3,MAQUIAGEM,13/12/2019,16
5,BELEZA NA WEB,4,SOLAR,17/5/2019,6
3,QUEM DISSE BERENICE,4,SOLAR,24/7/2019,11
5,BELEZA NA WEB,4,SOLAR,26/9/2019,15
4,VULT,2,PERFUMARIA,18/9/2019,14
2,EUDORA,4,SOLAR,25/11/2019,11
3,QUEM DISSE BERENICE,5,HIDRATANTES,22/7/2019,3
4,VULT,4,SOLAR,8/3/2019,15
2,EUDORA,5,HIDRATANTES,13/9/2019,19
4,VULT,3,MAQUIAGEM,13/1/2019,3
5,BELEZA NA WEB,4,SOLAR,3/12/2019,2
1,BOTICÁRIO,1,CABELOS,16/12/2019,12
3,QUEM DISSE BERENICE,4,SOLAR,21/5/2019,10
1,BOTICÁRIO,2,PERFUMARIA,20/4/2019,5
2,EUDORA,2,PERFUMARIA,5/6/2019,15
1,BOTICÁRIO,2,PERFUMARIA,21/1/2019,10
4,VULT,3,MAQUIAGEM,22/5/2019,17
5,BELEZA NA WEB,2,PERFUMARIA,27/12/2019,19
3,QUEM DISSE BERENICE,4,SOLAR,5/5/2019,8
1,BOTICÁRIO,1,CABELOS,30/9/2019,10
5,BELEZA NA WEB,5,HIDRATANTES,30/11/2019,17
3,QUEM DISSE BERENICE,3,MAQUIAGEM,12/9/2019,7
5,BELEZA NA WEB,4,SOLAR,30/12/2019,6
2,EUDORA,3,MAQUIAGEM,8/2/2019,16
2,EUDORA,2,PERFUMARIA,19/10/2019,19
4,VULT,3,MAQUIAGEM,28/1/2019,2
2,EUDORA,1,CABELOS,8/1/2019,18
2,EUDORA,3,MAQUIAGEM,12/4/2019,3
3,QUEM DISSE BERENICE,1,CABELOS,12/10/2019,8
1,BOTICÁRIO,4,SOLAR,7/1/2019,6
2,EUDORA,2,PERFUMARIA,26/9/2019,6
2,EUDORA,5,HIDRATANTES,2/5/2019,10
4,VULT,2,PERFUMARIA,7/6/2019,3
5,BELEZA NA WEB,1,CABELOS,10/9/2019,14
1,BOTICÁRIO,5,HIDRATANTES,22/2/2019,19
3,QUEM DISSE BERENICE,4,SOLAR,30/6/2019,13
3,QUEM DISSE BERENICE,1,CABELOS,30/12/2019,11
